2023-05-03 21:46:05,277 INFO  CentralNavigationComponent - Initializing CNC-Navigation
2023-05-03 21:46:05,428 INFO  ExtendedGraphHopper - start creating graph from database
2023-05-03 21:46:05,464 INFO  LocationIndexTree - location index created in 0.0045448s, size:58, leafs:14, precision:300, depth:2, checksum:32, entries:[4, 4], entriesPerLeaf:4.142857
2023-05-03 21:46:05,465 INFO  PrepareRoutingSubnetworks - start finding subnetworks (min:200, min one way:0) totalMB:40, usedMB:21
2023-05-03 21:46:05,466 INFO  PrepareRoutingSubnetworks - 1 subnetworks found for car, totalMB:40, usedMB:21
2023-05-03 21:46:05,467 INFO  PrepareRoutingSubnetworks - 1 subnetworks found for bike, totalMB:40, usedMB:21
2023-05-03 21:46:05,469 INFO  PrepareRoutingSubnetworks - optimize to remove subnetworks (1), unvisited-dead-end-nodes (0), maxEdges/node (6)
2023-05-03 21:46:05,469 INFO  ExtendedGraphHopper - edges: 62, nodes 32, there were 1 subnetworks. removed them => 0 less nodes
2023-05-03 21:46:05,470 INFO  ExtendedGraphHopper - flushing graph car,bike|RAM|3D|turn_cost|5,15,4,3,3, details:edges:62(1MB), nodes:32(1MB), name:(1MB), geo:1?911(1MB), bounds:-71.012146,-70.99869,41.621692,41.6340285,0.0,0.0, totalMB:40, usedMB:21)
2023-05-03 21:46:05,471 INFO  ExtendedGraphHopper - flushed graph totalMB:40, usedMB:21)
2023-05-03 21:46:05,471 INFO  CentralNavigationComponent - CNC - Navigation-System initialized
2023-05-03 21:46:05,473 INFO  CentralNavigationComponent - Sending vehicle routes initialization
